transaction_id,merchant_id,customer_id,timestamp,amount,currency,payment_method,device_id,device_age,ip_country,customer_country,merchant_country,previous_transaction_count,previous_failed_transactions,transactions_last_10_minutes,transactions_last_hour,average_customer_amount,amount_deviation,new_device,new_location,chargeback_history,account_age,is_fraud,fraud_type
txn_legit_001935,merch_0140,cust_01215,2026-02-17T00:25:48+00:00,668.45,INR,card,dev_cust_01215_2,552,IN,IN,IN,126,0,0,0,698.75,0.043,False,False,0,1076,False,NONE
txn_legit_006494,merch_0011,cust_02363,2026-01-15T01:38:44+00:00,281.05,INR,upi,dev_cust_02363_1,143,SG,SG,IN,182,0,0,2,246.16,0.142,False,False,0,189,False,NONE
txn_legit_001720,merch_0036,cust_00236,2026-02-01T04:33:59+00:00,1247.86,INR,card,dev_cust_00236_1,780,IN,IN,IN,41,0,0,2,1538.91,0.189,False,False,2,1309,False,NONE
txn_legit_009120,merch_0155,cust_00967,2026-01-28T00:36:22+00:00,2501.03,INR,card,dev_cust_00967_2,406,GB,GB,IN,83,0,0,0,505.26,3.95,False,False,0,476,False,BENIGN_OUTLIER
txn_legit_000360,merch_0065,cust_00075,2026-01-07T21:43:23+00:00,199.21,INR,wallet,dev_cust_00075_1,169,IN,IN,IN,140,0,0,0,150.0,0.328,False,False,0,1156,False,NONE
txn_legit_009663,merch_0134,cust_00070,2026-03-01T07:51:15+00:00,608.25,INR,card,dev_cust_00070_1,335,IN,IN,IN,152,0,2,3,518.87,0.172,False,False,0,362,False,NONE
txn_legit_005277,merch_0217,cust_00585,2026-02-13T13:49:45+00:00,1506.53,INR,card,dev_cust_00585_1,608,US,US,IN,170,0,0,0,1047.94,0.438,False,False,0,1053,False,NONE
txn_legit_008546,merch_0151,cust_00431,2026-01-21T18:15:52+00:00,504.15,INR,card,dev_cust_00431_1,534,IN,IN,IN,52,0,0,0,328.4,0.535,False,False,0,1436,False,NONE
txn_legit_002221,merch_0110,cust_00548,2026-01-20T04:21:04+00:00,531.47,INR,card,dev_cust_00548_2,144,IN,IN,IN,152,0,0,0,755.52,0.297,False,False,0,385,False,NONE
txn_legit_004617,merch_0020,cust_02459,2026-01-18T09:28:23+00:00,7511.53,INR,upi,dev_cust_02459_2,787,IN,IN,IN,54,0,0,0,1372.97,4.471,False,False,0,579,False,BENIGN_OUTLIER
txn_legit_003465,merch_0066,cust_01967,2026-01-09T02:29:15+00:00,553.14,INR,netbanking,dev_cust_01967_2,823,IN,IN,IN,39,0,0,0,759.2,0.271,False,False,0,961,False,NONE
txn_legit_001408,merch_0005,cust_01872,2026-01-03T03:50:38+00:00,50.0,INR,wallet,dev_cust_01872_2,890,IN,IN,IN,147,0,0,0,747.94,0.933,False,False,0,965,False,NONE
txn_legit_000468,merch_0249,cust_01444,2026-01-24T23:26:05+00:00,221.15,INR,netbanking,dev_cust_01444_1,491,IN,IN,SG,39,0,1,1,298.18,0.258,False,False,0,1484,False,NONE
txn_legit_001175,merch_0197,cust_01728,2026-02-17T18:53:09+00:00,1667.09,INR,upi,dev_cust_01728_2,576,US,US,IN,81,0,0,1,1784.42,0.066,False,False,0,446,False,NONE
txn_legit_005224,merch_0141,cust_00448,2026-02-09T02:56:13+00:00,326.31,INR,netbanking,dev_cust_00448_1,167,IN,IN,IN,31,0,0,0,403.87,0.192,False,False,0,1362,False,NONE
txn_legit_008128,merch_0171,cust_00054,2026-02-13T12:23:47+00:00,2837.1,INR,upi,dev_cust_00054_2,175,IN,IN,IN,38,0,0,0,1510.09,0.879,False,False,0,318,False,NONE
